sample_id,latitude,longitude,label,split,spatial_group
GSI-6CDC6C820018,23.71433988124626,92.7114615634264,1,train,Central_West_Aizawl_Block
GSI-3893C9C47E0B,23.70679403285966,92.714426003864,1,train,Central_West_Aizawl_Block
GSI-F16EDE85F146,23.46802183034069,92.71631246596064,1,val,South_Aizawl_Block
GSI-8CA368AE4FCE,23.54159385211008,92.70202925294312,1,val,South_Aizawl_Block
GSI-45467D8A0A00,23.529466595774466,92.7295177006372,1,val,South_Aizawl_Block
GSI-B0B086D2F21C,23.738863888502724,92.6963698666532,1,train,Central_West_Aizawl_Block
GSI-DF59AE38E0BB,23.740750350599377,92.6934054262156,1,train,Central_West_Aizawl_Block
GSI-50DB02C46C23,23.738594393917488,92.6942139099713,1,train,Central_West_Aizawl_Block
GSI-C363AD36D42F,23.74479276937792,92.69286643704513,1,train,Central_West_Aizawl_Block
GSI-69E284AA9B25,23.74128933976985,92.69448340455654,1,train,Central_West_Aizawl_Block
GSI-FAFDADCD5B41,23.737516415576547,92.69448340455654,1,train,Central_West_Aizawl_Block
GSI-673E0E40285F,23.73293500762753,92.69933430709078,1,train,Central_West_Aizawl_Block
GSI-E26678D1122F,23.74964367191216,92.69825632874984,1,train,Central_West_Aizawl_Block
GSI-B43A083BB04A,23.73104854553089,92.70229874752836,1,train,Central_West_Aizawl_Block
GSI-1CCF831003C3,23.73104854553089,92.70391571503978,1,train,Central_West_Aizawl_Block
GSI-9184F0C3FFDF,23.73320450221277,92.70526318796595,1,train,Central_West_Aizawl_Block
GSI-817F267FD426,23.73589944806513,92.69771733957936,1,train,Central_West_Aizawl_Block
GSI-4B8019CF5E8C,23.73131804011612,92.70822762840356,1,train,Central_West_Aizawl_Block
GSI-BD427A4EBD27,23.72431118089999,92.70741914464786,1,train,Central_West_Aizawl_Block
GSI-E85886CA1F19,23.72269421338857,92.70661066089215,1,train,Central_West_Aizawl_Block
GSI-0E0D4DA68E76,23.71568735417244,92.70930560674452,1,train,Central_West_Aizawl_Block
GSI-941735FB04D2,23.71730432168385,92.7076886392331,1,train,Central_West_Aizawl_Block
GSI-A39BA6331578,23.712992408320083,92.70903611215928,1,train,Central_West_Aizawl_Block
GSI-26112817FB39,23.71514836500197,92.7152344876197,1,train,Central_West_Aizawl_Block
GSI-C4DAD3982A39,23.71649583792815,92.72116336849489,1,train,Central_West_Aizawl_Block
GSI-A394678034F0,23.71433988124626,92.72870921688148,1,train,Central_West_Aizawl_Block
GSI-77C496930F68,23.71568735417244,92.7265532601996,1,train,Central_West_Aizawl_Block
GSI-6B224ED08FCF,23.710297462467725,92.72251084142108,1,train,Central_West_Aizawl_Block
GSI-A63B2D2541D3,23.71002796788249,92.7160429713754,1,train,Central_West_Aizawl_Block
GSI-D39B25C0DBFD,23.70517706534824,92.7114615634264,1,train,Central_West_Aizawl_Block
GSI-89505F7283FA,23.700326162814,92.7160429713754,1,train,Central_West_Aizawl_Block
GSI-92AFF2064DDE,23.699787173643525,92.7168514551311,1,train,Central_West_Aizawl_Block
GSI-87CD128A1015,23.680383563506545,92.72466679810296,1,train,Central_West_Aizawl_Block
GSI-0D1AFDDFC231,23.67795811223942,92.72008539015394,1,train,Central_West_Aizawl_Block
GSI-7BEAA54047E7,23.646427245766827,92.72520578727342,1,train,Central_West_Aizawl_Block
GSI-18796AAA831D,23.631066054408382,92.72385831434724,1,train,Central_West_Aizawl_Block
GSI-0FDDE43D0627,23.628371108556024,92.72331932517676,1,train,Central_West_Aizawl_Block
GSI-DCEFAD2C19F8,23.62271172226607,92.72439730351772,1,train,Central_West_Aizawl_Block
GSI-CAC0D54AB3F6,23.621903238510363,92.72304983059152,1,train,Central_West_Aizawl_Block
GSI-351BA989622D,23.62082526016942,92.72251084142108,1,train,Central_West_Aizawl_Block
GSI-6DD32557C183,23.619208292658005,92.72251084142108,1,train,Central_West_Aizawl_Block
GSI-0BAECF136B55,23.61974728182848,92.72520578727342,1,train,Central_West_Aizawl_Block
GSI-D9FA12BC54B3,23.62028627099895,92.72547528185866,1,train,Central_West_Aizawl_Block
GSI-A7EC40B27E14,23.62028627099895,92.72601427102911,1,train,Central_West_Aizawl_Block
GSI-13641064FB74,23.62109475475465,92.72439730351772,1,train,Central_West_Aizawl_Block
GSI-C0BF00B26A5A,23.67580215555753,92.71496499303446,1,train,Central_West_Aizawl_Block
GSI-2B73869CA8A6,23.67445468263136,92.71469549844925,1,train,Central_West_Aizawl_Block
GSI-EDA0D1945547,23.673915693460884,92.71469549844925,1,train,Central_West_Aizawl_Block
GSI-A155AA281641,23.67202923136423,92.70984459591496,1,train,Central_West_Aizawl_Block
GSI-73E4CB44402F,23.68442598228508,92.71550398220494,1,train,Central_West_Aizawl_Block
GSI-08320A29519A,23.706255043689183,92.72062437932442,1,train,Central_West_Aizawl_Block
GSI-CAC2B937E08C,23.69008536857504,92.723588819762,1,train,Central_West_Aizawl_Block
GSI-7645385A1AD7,23.683617498529376,92.7227803360063,1,train,Central_West_Aizawl_Block
GSI-82BF38393B86,23.67149024219376,92.723588819762,1,train,Central_West_Aizawl_Block
GSI-3B2E36CAECA0,23.666639339659515,92.72385831434724,1,train,Central_West_Aizawl_Block
GSI-9EADCE6400C7,23.63510847318692,92.723588819762,1,train,Central_West_Aizawl_Block
GSI-843D49D0F5C9,23.4327180396748,92.7610485671098,1,val,South_Aizawl_Block
GSI-FB0A66FE611A,23.467752335755453,92.74110596780234,1,val,South_Aizawl_Block
GSI-0751DB697037,23.49712724554616,92.70337672586932,1,val,South_Aizawl_Block
GSI-981B4E23F369,23.51356641524555,92.69825632874984,1,val,South_Aizawl_Block
GSI-D0243A00AED3,23.53674294957583,92.69744784499412,1,val,South_Aizawl_Block
GSI-2F0F2D5C5F4C,23.530814068700643,92.73059567897816,1,val,South_Aizawl_Block
GSI-C246BD6781D1,23.53108356328588,92.73356011941574,1,val,South_Aizawl_Block
GSI-360573093303,23.530814068700643,92.7332906248305,1,val,South_Aizawl_Block
GSI-A7D6E021B8EC,23.563961902684653,92.70795813381832,1,train,Central_West_Aizawl_Block
GSI-A5FCE1D34E2C,23.56423139726989,92.70795813381832,1,train,Central_West_Aizawl_Block
GSI-0911A74BD322,23.5650398810256,92.7076886392331,1,train,Central_West_Aizawl_Block
GSI-EB24784E0F22,23.56665684853701,92.70876661757404,1,train,Central_West_Aizawl_Block
GSI-0593E79EF67E,23.77308970082768,92.74353141906946,1,train,Central_West_Aizawl_Block
GSI-D1AC23A4BBB4,23.774706668339093,92.7618570508655,1,train,Central_West_Aizawl_Block
GSI-E6D981EACB91,23.77362868999815,92.7610485671098,1,train,Central_West_Aizawl_Block
GSI-AA48006189E1,23.748565693571216,92.7386805165352,1,train,Central_West_Aizawl_Block
GSI-8B62B5AF5417,23.610045476759986,92.72089387390965,1,train,Central_West_Aizawl_Block
GSI-A085D845B448,23.592528328719656,92.71658196054588,1,train,Central_West_Aizawl_Block
GSI-E8693A77BF5E,23.58713843701494,92.71361752010829,1,train,Central_West_Aizawl_Block
GSI-AACF9D6F49A7,23.57689764277597,92.7130785309378,1,train,Central_West_Aizawl_Block
GSI-42E2B7574326,23.581479050724983,92.71415650927877,1,train,Central_West_Aizawl_Block
GSI-BE624FD1B92B,23.586868942429703,92.7173904443016,1,train,Central_West_Aizawl_Block
GSI-1152E36B33D3,23.58579096408876,92.71631246596064,1,train,Central_West_Aizawl_Block
GSI-52D299CBD5AB,23.58632995325923,92.71577347679016,1,train,Central_West_Aizawl_Block
GSI-109ABEB99616,23.65397309415343,92.72439730351772,1,train,Central_West_Aizawl_Block
GSI-A3E794F48053,23.654242588738665,92.71765993888684,1,train,Central_West_Aizawl_Block
GSI-1EA9B35891D7,23.654242588738665,92.68990199660752,1,train,Central_West_Aizawl_Block
GSI-60E3BEF0ACCF,23.66071045878433,92.67265434315244,1,train,Central_West_Aizawl_Block
GSI-702030ECD500,23.65855450210244,92.70580217713643,1,train,Central_West_Aizawl_Block
GSI-B33E9DDFF406,23.681461541847487,92.72143286308012,1,train,Central_West_Aizawl_Block
GSI-E05CBED67B18,23.727006126752347,92.79527437943474,1,train,Central_West_Aizawl_Block
GSI-3A214A5EE0CB,23.7326655130423,92.7971608415314,1,test,NorthEast_Aizawl_Block
GSI-EA1735D29DAA,23.73428248055372,92.79850831445758,1,test,NorthEast_Aizawl_Block
GSI-16BD3BF8EE34,23.74560125313362,92.79446589567904,1,train,Central_West_Aizawl_Block
GSI-D6B25360590A,23.735629953479894,92.80039477655424,1,test,NorthEast_Aizawl_Block
GSI-9ABD5408A980,23.73293500762753,92.84782582355574,1,test,NorthEast_Aizawl_Block
GSI-A8F043848B6A,23.760962444492066,92.8475563289705,1,test,NorthEast_Aizawl_Block
GSI-152C4EA2FCFE,23.869838256927352,92.8761227550055,1,test,NorthEast_Aizawl_Block
GSI-FE2FCBF44457,23.740211361428905,92.69717835040888,1,train,Central_West_Aizawl_Block
GSI-F7509731AA59,23.733743491383244,92.69394441538608,1,train,Central_West_Aizawl_Block
GSI-B7D53F3039FA,23.73482146972419,92.695022393727,1,train,Central_West_Aizawl_Block
GSI-FB2EB766388B,23.71757381626909,92.70661066089215,1,train,Central_West_Aizawl_Block
GSI-64E8A767925A,23.71730432168385,92.70634116630691,1,train,Central_West_Aizawl_Block
GSI-30538BE5B81D,23.711375440808663,92.72439730351772,1,train,Central_West_Aizawl_Block
GSI-A879211932C4,23.7040990870073,92.7122700471821,1,train,Central_West_Aizawl_Block
GSI-BA6E29113D25,23.643462805329232,92.73436860317145,1,train,Central_West_Aizawl_Block
GSI-2F5F6FCA7898,23.7040990870073,92.72008539015394,1,train,Central_West_Aizawl_Block
GSI-06654A8BFF1C,23.4726032382897,92.714426003864,1,val,South_Aizawl_Block
GSI-FED823C5A258,23.54267183045102,92.70337672586932,1,val,South_Aizawl_Block
GSI-CFA3A2B7892A,23.58040107238404,92.71496499303446,1,train,Central_West_Aizawl_Block
GSI-20E7BD05FF6A,23.655051072494373,92.714426003864,1,train,Central_West_Aizawl_Block
GSI-53B686AAB12B,23.66044096419909,92.67265434315244,1,train,Central_West_Aizawl_Block
GSI-A72CE0AF13F8,23.65774601834673,92.67454080524908,1,train,Central_West_Aizawl_Block
